id,region_regionCode,slab,engineType,minimumPrice,maximumPrice,percentage,fixedAmount,approvalStatus
64444444-4444-4444-4444-444444444446,AP04,2,EV,100001.00,200000.00,0.0080,200.00,APPROVED
64444444-4444-4444-4444-444444444447,AP04,3,EV,200001.00,500000.00,0.0100,250.00,APPROVED
64444444-4444-4444-4444-444444444448,AP04,4,EV,500001.00,1000000.00,0.0120,300.00,APPROVED

65555555-5555-5555-5555-555555555551,TS05,1,Petrol,0.00,100000.00,0.0100,250.00,APPROVED
65555555-5555-5555-5555-555555555552,TS05,2,Petrol,100001.00,200000.00,0.0120,300.00,APPROVED
65555555-5555-5555-5555-555555555553,TS05,3,Petrol,200001.00,500000.00,0.0150,400.00,APPROVED
65555555-5555-5555-5555-555555555554,TS05,4,Petrol,500001.00,1000000.00,0.0180,500.00,APPROVED
65555555-5555-5555-5555-555555555555,TS05,1,EV,0.00,100000.00,0.0050,150.00,APPROVED
65555555-5555-5555-5555-555555555556,TS05,2,EV,100001.00,200000.00,0.0080,200.00,APPROVED
65555555-5555-5555-5555-555555555557,TS05,3,EV,200001.00,500000.00,0.0100,250.00,APPROVED
65555555-5555-5555-5555-555555555558,TS05,4,EV,500001.00,1000000.00,0.0120,300.00,APPROVED

66666666-6666-6666-6666-666666666661,MH06,1,Petrol,0.00,100000.00,0.0120,300.00,APPROVED
66666666-6666-6666-6666-666666666662,MH06,2,Petrol,100001.00,200000.00,0.0150,350.00,APPROVED
66666666-6666-6666-6666-666666666663,MH06,3,Petrol,200001.00,500000.00,0.0180,450.00,APPROVED
66666666-6666-6666-6666-666666666664,MH06,4,Petrol,500001.00,1000000.00,0.0200,550.00,APPROVED
66666666-6666-6666-6666-666666666665,MH06,1,EV,0.00,100000.00,0.0060,180.00,APPROVED
66666666-6666-6666-6666-666666666666,MH06,2,EV,100001.00,200000.00,0.0090,220.00,APPROVED
66666666-6666-6666-6666-666666666667,MH06,3,EV,200001.00,500000.00,0.0120,280.00,APPROVED
66666666-6666-6666-6666-666666666668,MH06,4,EV,500001.00,1000000.00,0.0140,350.00,APPROVED

67777777-7777-7777-7777-777777777771,GJ07,1,Petrol,0.00,100000.00,0.0100,250.00,APPROVED
67777777-7777-7777-7777-777777777772,GJ07,2,Petrol,100001.00,200000.00,0.0120,300.00,APPROVED
67777777-7777-7777-7777-777777777773,GJ07,3,Petrol,200001.00,500000.00,0.0150,400.00,APPROVED
67777777-7777-7777-7777-777777777774,GJ07,4,Petrol,500001.00,1000000.00,0.0180,500.00,APPROVED
67777777-7777-7777-7777-777777777775,GJ07,1,EV,0.00,100000.00,0.0050,150.00,APPROVED
67777777-7777-7777-7777-777777777776,GJ07,2,EV,100001.00,200000.00,0.0080,200.00,APPROVED
67777777-7777-7777-7777-777777777777,GJ07,3,EV,200001.00,500000.00,0.0100,250.00,APPROVED
67777777-7777-7777-7777-777777777778,GJ07,4,EV,500001.00,1000000.00,0.0120,300.00,APPROVED

68888888-8888-8888-8888-888888888881,RJ08,1,Petrol,0.00,100000.00,0.0100,250.00,APPROVED
68888888-8888-8888-8888-888888888882,RJ08,2,Petrol,100001.00,200000.00,0.0120,300.00,APPROVED
68888888-8888-8888-8888-888888888883,RJ08,3,Petrol,200001.00,500000.00,0.0150,400.00,APPROVED
68888888-8888-8888-8888-888888888884,RJ08,4,Petrol,500001.00,1000000.00,0.0180,500.00,APPROVED
68888888-8888-8888-8888-888888888885,RJ08,1,EV,0.00,100000.00,0.0050,150.00,APPROVED
68888888-8888-8888-8888-888888888886,RJ08,2,EV,100001.00,200000.00,0.0080,200.00,APPROVED
68888888-8888-8888-8888-888888888887,RJ08,3,EV,200001.00,500000.00,0.0100,250.00,APPROVED
68888888-8888-8888-8888-888888888888,RJ08,4,EV,500001.00,1000000.00,0.0120,300.00,APPROVED

69999999-9999-9999-9999-999999999991,DL09,1,Petrol,0.00,100000.00,0.0120,300.00,APPROVED
69999999-9999-9999-9999-999999999992,DL09,2,Petrol,100001.00,200000.00,0.0150,350.00,APPROVED
69999999-9999-9999-9999-999999999993,DL09,3,Petrol,200001.00,500000.00,0.0180,450.00,APPROVED
69999999-9999-9999-9999-999999999994,DL09,4,Petrol,500001.00,1000000.00,0.0200,550.00,APPROVED
69999999-9999-9999-9999-999999999995,DL09,1,EV,0.00,100000.00,0.0060,180.00,APPROVED
69999999-9999-9999-9999-999999999996,DL09,2,EV,100001.00,200000.00,0.0090,220.00,APPROVED
69999999-9999-9999-9999-999999999997,DL09,3,EV,200001.00,500000.00,0.0120,280.00,APPROVED
69999999-9999-9999-9999-999999999998,DL09,4,EV,500001.00,1000000.00,0.0140,350.00,APPROVED
