id,region_regionCode,validFrom,slab,engineType,ccMin,ccMax,minimumPrice,maximumPrice,rtoPercent,flatPriceValue,approvalStatus
44444444-4444-4444-4444-444444444442,AP04,2026-01-01,2,Petrol,351.00,500.00,100001.00,200000.00,0.1000,0.00,APPROVED
44444444-4444-4444-4444-444444444443,AP04,2026-01-01,3,Petrol,501.00,750.00,200001.00,500000.00,0.1200,0.00,APPROVED
44444444-4444-4444-4444-444444444444,AP04,2026-01-01,4,Petrol,751.00,1000.00,500001.00,1000000.00,0.1500,0.00,APPROVED
44444444-4444-4444-4444-444444444445,AP04,2026-01-01,1,EV,0.00,350.00,0.00,100000.00,0.0500,0.00,APPROVED
44444444-4444-4444-4444-444444444446,AP04,2026-01-01,2,EV,351.00,500.00,100001.00,200000.00,0.0600,0.00,APPROVED
44444444-4444-4444-4444-444444444447,AP04,2026-01-01,3,EV,501.00,750.00,200001.00,500000.00,0.0700,0.00,APPROVED
44444444-4444-4444-4444-444444444448,AP04,2026-01-01,4,EV,751.00,1000.00,500001.00,1000000.00,0.0800,0.00,APPROVED

55555555-5555-5555-5555-555555555551,TS05,2026-01-01,1,Petrol,0.00,350.00,0.00,100000.00,0.0800,0.00,APPROVED
55555555-5555-5555-5555-555555555552,TS05,2026-01-01,2,Petrol,351.00,500.00,100001.00,200000.00,0.1000,0.00,APPROVED
55555555-5555-5555-5555-555555555553,TS05,2026-01-01,3,Petrol,501.00,750.00,200001.00,500000.00,0.1200,0.00,APPROVED
55555555-5555-5555-5555-555555555554,TS05,2026-01-01,4,Petrol,751.00,1000.00,500001.00,1000000.00,0.1500,0.00,APPROVED
55555555-5555-5555-5555-555555555555,TS05,2026-01-01,1,EV,0.00,350.00,0.00,100000.00,0.0500,0.00,APPROVED
55555555-5555-5555-5555-555555555556,TS05,2026-01-01,2,EV,351.00,500.00,100001.00,200000.00,0.0600,0.00,APPROVED
55555555-5555-5555-5555-555555555557,TS05,2026-01-01,3,EV,501.00,750.00,200001.00,500000.00,0.0700,0.00,APPROVED
55555555-5555-5555-5555-555555555558,TS05,2026-01-01,4,EV,751.00,1000.00,500001.00,1000000.00,0.0800,0.00,APPROVED

66666666-6666-6666-6666-666666666661,MH06,2026-01-01,1,Petrol,0.00,350.00,0.00,100000.00,0.0900,0.00,APPROVED
66666666-6666-6666-6666-666666666662,MH06,2026-01-01,2,Petrol,351.00,500.00,100001.00,200000.00,0.1100,0.00,APPROVED
66666666-6666-6666-6666-666666666663,MH06,2026-01-01,3,Petrol,501.00,750.00,200001.00,500000.00,0.1300,0.00,APPROVED
66666666-6666-6666-6666-666666666664,MH06,2026-01-01,4,Petrol,751.00,1000.00,500001.00,1000000.00,0.1600,0.00,APPROVED
66666666-6666-6666-6666-666666666665,MH06,2026-01-01,1,EV,0.00,350.00,0.00,100000.00,0.0500,0.00,APPROVED
66666666-6666-6666-6666-666666666666,MH06,2026-01-01,2,EV,351.00,500.00,100001.00,200000.00,0.0600,0.00,APPROVED
66666666-6666-6666-6666-666666666667,MH06,2026-01-01,3,EV,501.00,750.00,200001.00,500000.00,0.0700,0.00,APPROVED
66666666-6666-6666-6666-666666666668,MH06,2026-01-01,4,EV,751.00,1000.00,500001.00,1000000.00,0.0800,0.00,APPROVED

77777777-7777-7777-7777-777777777771,GJ07,2026-01-01,1,Petrol,0.00,350.00,0.00,100000.00,0.0800,0.00,APPROVED
77777777-7777-7777-7777-777777777772,GJ07,2026-01-01,2,Petrol,351.00,500.00,100001.00,200000.00,0.1000,0.00,APPROVED
77777777-7777-7777-7777-777777777773,GJ07,2026-01-01,3,Petrol,501.00,750.00,200001.00,500000.00,0.1200,0.00,APPROVED
77777777-7777-7777-7777-777777777774,GJ07,2026-01-01,4,Petrol,751.00,1000.00,500001.00,1000000.00,0.1500,0.00,APPROVED
77777777-7777-7777-7777-777777777775,GJ07,2026-01-01,1,EV,0.00,350.00,0.00,100000.00,0.0500,0.00,APPROVED
77777777-7777-7777-7777-777777777776,GJ07,2026-01-01,2,EV,351.00,500.00,100001.00,200000.00,0.0600,0.00,APPROVED
77777777-7777-7777-7777-777777777777,GJ07,2026-01-01,3,EV,501.00,750.00,200001.00,500000.00,0.0700,0.00,APPROVED
77777777-7777-7777-7777-777777777778,GJ07,2026-01-01,4,EV,751.00,1000.00,500001.00,1000000.00,0.0800,0.00,APPROVED

88888888-8888-8888-8888-888888888881,RJ08,2026-01-01,1,Petrol,0.00,350.00,0.00,100000.00,0.0800,0.00,APPROVED
88888888-8888-8888-8888-888888888882,RJ08,2026-01-01,2,Petrol,351.00,500.00,100001.00,200000.00,0.1000,0.00,APPROVED
88888888-8888-8888-8888-888888888883,RJ08,2026-01-01,3,Petrol,501.00,750.00,200001.00,500000.00,0.1200,0.00,APPROVED
88888888-8888-8888-8888-888888888884,RJ08,2026-01-01,4,Petrol,751.00,1000.00,500001.00,1000000.00,0.1500,0.00,APPROVED
88888888-8888-8888-8888-888888888885,RJ08,2026-01-01,1,EV,0.00,350.00,0.00,100000.00,0.0500,0.00,APPROVED
88888888-8888-8888-8888-888888888886,RJ08,2026-01-01,2,EV,351.00,500.00,100001.00,200000.00,0.0600,0.00,APPROVED
88888888-8888-8888-8888-888888888887,RJ08,2026-01-01,3,EV,501.00,750.00,200001.00,500000.00,0.0700,0.00,APPROVED
88888888-8888-8888-8888-888888888888,RJ08,2026-01-01,4,EV,751.00,1000.00,500001.00,1000000.00,0.0800,0.00,APPROVED

aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa1,DL09,2026-01-01,1,Petrol,0.00,350.00,0.00,100000.00,0.0900,0.00,APPROVED
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa2,DL09,2026-01-01,2,Petrol,351.00,500.00,100001.00,200000.00,0.1100,0.00,APPROVED
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa3,DL09,2026-01-01,3,Petrol,501.00,750.00,200001.00,500000.00,0.1300,0.00,APPROVED
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa4,DL09,2026-01-01,4,Petrol,751.00,1000.00,500001.00,1000000.00,0.1600,0.00,APPROVED
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa5,DL09,2026-01-01,1,EV,0.00,350.00,0.00,100000.00,0.0500,0.00,APPROVED
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa6,DL09,2026-01-01,2,EV,351.00,500.00,100001.00,200000.00,0.0600,0.00,APPROVED
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa7,DL09,2026-01-01,3,EV,501.00,750.00,200001.00,500000.00,0.0700,0.00,APPROVED
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa8,DL09,2026-01-01,4,EV,751.00,1000.00,500001.00,1000000.00,0.0800,0.00,APPROVED
